,blueWins,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueTotalExperience
187,1,9,7,13,2,1,1,0,17906,18001
188,0,4,3,2,1,0,1,0,16408,19181
189,0,4,12,5,0,0,0,0,15056,16369
190,0,6,6,11,1,1,0,0,17831,18269
191,0,1,5,1,0,0,0,0,13738,16678
192,1,14,3,15,0,0,0,0,20317,20330
193,0,0,5,0,0,0,0,0,14091,16184
194,0,6,11,4,1,1,0,0,16036,16916
195,1,6,6,5,1,0,1,0,17052,17392
196,0,4,7,6,0,0,0,0,16354,18778
197,1,10,5,8,1,1,0,0,18297,19476
198,0,6,8,5,0,0,0,0,15748,16524
199,1,8,5,10,1,1,0,0,17886,20099
200,0,11,8,15,0,0,0,0,17069,16703
201,1,4,4,4,1,0,1,0,16631,19310
202,0,1,5,3,1,1,0,0,14766,18364
203,0,8,7,3,0,0,0,0,17113,19396
204,0,5,14,6,1,1,0,0,15120,16713
205,0,4,6,6,0,0,0,0,15339,16302
206,0,1,14,1,1,1,0,0,13438,14164
207,1,4,9,3,0,0,0,0,15582,17281
208,1,5,5,7,1,1,0,0,15441,17550
209,0,4,2,2,1,0,1,0,16002,18467
210,0,5,5,8,1,0,1,0,16009,18033
211,1,12,9,15,0,0,0,0,18106,16668
212,1,6,2,9,1,1,0,0,16501,18428
213,0,3,8,3,0,0,0,0,15505,17721
214,1,5,5,3,0,0,0,0,16195,19145
215,1,14,5,12,1,1,0,0,20294,18459
216,0,5,7,3,1,0,1,0,15475,18145
217,0,5,4,6,1,0,1,0,16243,18154
218,1,3,7,2,0,0,0,0,15065,17137
219,1,1,2,3,0,0,0,0,14359,17258
220,1,11,4,8,2,1,1,1,19377,20008
221,0,2,7,2,0,0,0,0,14135,17185
222,1,8,4,8,0,0,0,0,17448,18315
223,0,6,3,9,1,1,0,0,15958,17693
224,0,10,5,13,1,1,0,0,18287,18402
225,0,2,5,2,1,0,1,0,15534,17975
226,0,2,5,2,0,0,0,0,14935,17703
227,1,12,4,11,0,0,0,0,19331,19387
228,1,8,6,7,1,1,0,0,17131,19719
229,1,9,3,10,0,0,0,0,17983,18340
230,0,5,6,5,1,1,0,0,16842,18443
231,0,9,6,13,0,0,0,0,17569,17101
232,0,5,5,3,1,0,1,0,15882,16956
233,0,9,3,8,0,0,0,0,17049,17241
234,0,1,7,1,0,0,0,0,13556,16451
235,0,1,3,1,0,0,0,0,14692,18342
236,1,8,7,10,1,1,0,0,17000,16417
237,1,6,4,7,0,0,0,0,17200,18984
238,0,5,7,2,1,1,0,0,15409,18408
239,0,10,12,13,1,1,0,0,17283,16235
240,0,5,9,5,0,0,0,0,15477,15965
241,1,6,1,8,2,1,1,0,16763,18897
242,1,9,5,4,2,1,1,0,18434,20263
243,0,1,6,2,0,0,0,0,13731,16666
244,1,5,6,6,1,1,0,0,17251,19984
245,1,7,6,5,1,1,0,0,17051,18864
246,0,7,7,6,0,0,0,0,16346,18557
247,1,14,4,14,0,0,0,0,21095,21242
248,1,6,4,3,1,1,0,0,16434,18641
249,0,4,11,2,1,1,0,0,15834,18362
250,1,8,9,9,1,0,1,0,16968,18900
251,0,5,7,7,0,0,0,0,15949,17005
252,1,5,7,3,1,1,0,0,16056,17578
253,1,10,6,8,1,0,1,0,18392,18818
254,1,6,2,9,0,0,0,0,16415,18271
255,1,14,4,21,1,1,0,0,19948,20064
256,1,9,4,6,0,0,0,0,18189,19191
257,1,3,8,4,0,0,0,0,14398,15990
258,1,6,0,8,1,1,0,0,17359,20592
259,0,4,7,3,0,0,0,0,15817,17535
260,0,3,5,3,1,0,1,0,15861,19121
261,1,7,3,7,1,1,0,0,16355,18991
262,1,11,9,13,0,0,0,0,18333,18622
263,0,2,11,3,0,0,0,0,14562,16952
264,1,11,6,13,2,1,1,0,19677,20488
265,1,11,7,14,0,0,0,0,18793,18395
266,0,4,12,0,1,1,0,0,14276,16422
267,0,4,1,4,1,0,1,1,16808,17831
268,0,3,9,3,0,0,0,0,15002,16448
269,0,4,9,5,1,0,1,0,14354,15677
270,1,5,6,6,1,1,0,0,15926,19262
271,0,3,5,5,0,0,0,0,14742,16162
272,1,6,10,8,0,0,0,0,16481,17069
273,0,9,8,5,0,0,0,0,16307,17660
274,1,6,2,3,1,1,0,0,16569,19120
275,1,5,3,5,0,0,0,0,17322,19067
276,0,3,8,2,0,0,0,0,14711,16559
277,1,3,5,3,2,1,1,0,16009,18511
278,0,5,10,4,0,0,0,0,15102,16437
279,0,6,9,5,0,0,0,0,15499,17298
280,1,10,4,10,0,0,0,0,18456,19319
281,0,5,2,5,1,1,0,0,15767,17413
282,1,11,5,12,1,1,0,0,18890,19229
283,0,4,8,3,0,0,0,0,14901,17696
284,1,6,3,7,1,1,0,0,16785,19346
285,1,10,5,15,1,1,0,0,18786,18509
286,0,1,10,2,1,0,1,0,14727,16272
287,1,10,5,14,2,1,1,0,18009,18763
288,0,1,4,2,1,0,1,0,14526,17366
289,0,8,6,8,1,1,0,0,16627,17397
290,0,1,6,1,0,0,0,0,13075,15488
291,0,5,11,4,0,0,0,0,16105,17502
292,0,3,4,6,0,0,0,0,14782,16677
293,1,5,3,4,2,1,1,0,15889,18189
294,0,2,5,3,1,1,0,0,15158,17387
295,0,3,3,4,0,0,0,0,15073,17578
296,0,7,8,5,1,1,0,0,17125,18785
297,0,6,9,6,0,0,0,0,16377,16818
298,0,4,6,4,1,0,1,0,15888,18421
299,0,2,3,3,0,0,0,0,14414,17356
300,0,10,9,9,1,1,0,0,18329,18315
301,0,6,7,10,0,0,0,0,16245,16720
302,1,3,4,2,1,1,0,0,16120,17683
303,0,5,7,8,0,0,0,0,15548,16604
304,1,8,2,12,0,0,0,0,17432,18495
305,1,9,7,10,1,1,0,0,16922,17350
306,0,5,2,5,0,0,0,0,16142,18818
307,0,2,8,2,1,1,0,0,14630,17694
308,1,2,4,1,2,1,1,0,15131,18134
309,0,8,5,7,1,0,1,0,17697,18512
310,0,4,3,5,1,1,0,0,16116,17653
311,1,10,7,9,0,0,0,0,18485,19949
312,1,6,3,4,1,1,0,0,16980,18593
313,1,5,4,6,0,0,0,0,17066,17494
314,0,8,8,9,0,0,0,0,17202,17447
315,0,1,8,2,1,1,0,0,14702,16461
316,1,13,7,11,0,0,0,0,18692,19886
317,0,11,13,13,1,1,0,0,18549,16837
318,1,4,5,3,1,1,0,0,15859,18390
319,1,4,9,5,0,0,0,0,16044,18226
320,1,8,11,6,1,0,1,0,15941,16613
321,0,5,9,4,0,0,0,0,15675,16844
322,1,4,7,2,1,1,0,0,15682,17438
323,1,7,8,7,2,1,1,0,15843,17154
324,1,12,3,11,1,1,0,0,18248,19855
325,1,4,7,3,0,0,0,0,15333,18073
326,1,8,4,10,1,1,0,0,17496,18253
327,1,12,8,15,2,1,1,0,19809,18530
328,1,13,3,9,1,1,0,0,19329,19021
329,0,5,9,2,0,0,0,1,15600,14986
330,1,4,4,1,2,1,1,0,16292,18889
331,0,5,10,6,1,0,1,0,17677,18225
332,0,5,10,6,0,0,0,0,15141,17635
333,0,5,8,1,0,0,0,0,14897,17306
334,1,8,3,14,1,1,0,0,17520,18610
335,0,8,7,9,0,0,0,0,17164,18932
336,0,5,6,8,1,1,0,0,15999,17033
337,1,2,6,1,0,0,0,0,14542,17517
338,1,14,6,10,1,0,1,1,20225,17976
339,0,11,6,10,1,1,0,0,18203,18175
340,1,6,5,4,2,1,1,0,16787,18618
341,0,2,11,2,0,0,0,0,14959,16588
342,1,4,7,4,2,1,1,0,15132,16489
343,0,3,6,4,0,0,0,0,16354,17848
344,0,2,5,2,1,0,1,0,14652,17192
345,0,4,2,7,0,0,0,0,15331,17540
346,1,6,4,5,1,1,0,0,17002,18755
347,1,7,11,10,0,0,0,0,16308,16771
348,1,7,10,9,0,0,0,0,16282,16826
349,0,3,7,3,0,0,0,0,14110,15832
350,0,4,8,5,0,0,0,0,15426,17467
351,0,5,6,4,1,0,1,0,15983,17562
352,1,7,4,5,2,1,1,0,16801,18563
353,1,6,3,10,0,0,0,0,17141,19142
354,0,4,9,4,0,0,0,0,15122,17694
355,0,5,5,7,0,0,0,0,16878,19372
356,1,8,2,8,0,0,0,0,18274,18615
357,0,2,8,3,0,0,0,0,14176,17054
358,1,6,2,9,0,0,0,0,17549,19231
359,0,5,8,7,0,0,0,0,16049,16758
360,0,1,4,1,0,0,0,0,14017,15893
361,1,14,3,16,0,0,0,0,20139,21898
362,0,5,8,5,0,0,0,0,16659,17777
363,0,5,8,4,0,0,0,0,15975,18165
364,0,6,7,7,0,0,0,0,16728,18284
365,1,6,5,9,0,0,0,0,16693,18761
366,1,5,2,4,2,1,1,0,15925,17913
367,0,8,8,5,1,0,1,0,16763,17433
368,1,6,4,7,0,0,0,0,16852,18660
369,0,2,6,3,0,0,0,0,14950,18134
370,1,2,4,2,1,1,0,0,14863,17436
371,0,3,12,2,0,0,0,0,15853,18223
372,0,3,13,1,0,0,0,0,13428,14121
373,1,7,8,8,1,1,0,0,17570,18283
374,1,6,4,3,1,0,1,0,16561,17961
375,0,8,14,4,0,0,0,0,15070,15375
376,0,10,5,17,1,1,0,0,19190,18615
377,0,3,8,1,0,0,0,0,14269,16844
378,0,1,5,0,1,1,0,0,14916,17511
379,1,5,8,7,2,1,1,0,16256,17637
380,1,3,3,3,1,1,0,0,15231,17617
381,1,7,10,9,1,1,0,0,16070,16577
382,0,3,3,2,1,0,1,0,15416,17935
383,1,7,5,4,1,0,1,2,19036,18857
384,1,11,6,13,1,1,0,0,18214,19670
385,0,6,9,7,0,0,0,0,17430,18068
386,1,6,3,7,0,0,0,0,16590,19041
387,1,4,1,6,1,1,0,0,15508,17062
388,1,6,5,4,0,0,0,0,16789,19024
389,1,5,5,6,1,0,1,0,16298,18210
390,1,12,2,13,1,1,0,0,19320,20189
391,0,4,11,4,2,1,1,0,14926,16530
392,1,9,3,17,1,1,0,0,17496,18327
393,1,7,11,7,0,0,0,0,15177,15795
394,0,6,9,8,0,0,0,0,17025,18038
395,1,9,5,14,0,0,0,0,18203,18324
396,0,3,8,3,0,0,0,0,15160,17505
397,1,4,1,2,1,1,0,0,15304,18188
398,1,11,10,8,0,0,0,0,17503,17699
399,1,7,6,10,1,0,1,0,16468,15869
400,1,10,10,10,0,0,0,0,19035,18221
401,1,10,9,11,1,1,0,0,18413,18554
402,1,9,2,21,1,1,0,0,18470,18925
403,0,6,13,9,0,0,0,0,16291,16699
404,1,6,6,9,1,1,0,0,16301,17430
405,0,9,8,7,1,1,0,0,17183,18225
406,0,1,5,1,0,0,0,0,13361,16819
407,1,2,1,4,1,0,1,0,14807,17246
408,1,4,3,1,1,1,0,0,15195,18358
409,1,3,7,2,0,0,0,0,14788,17345
410,0,7,8,8,0,0,0,0,16604,17328
411,0,4,4,2,1,0,1,0,15661,18861
412,0,5,7,3,0,0,0,0,16259,17235
413,1,11,4,13,1,1,0,0,19716,19989
414,1,11,5,18,1,1,0,0,18612,19203
415,0,3,9,1,1,1,0,0,14711,18284
416,1,6,4,7,2,1,1,0,16886,18261
417,0,4,7,4,1,1,0,0,14980,16983
418,1,6,1,9,1,1,0,0,16544,17551
419,0,10,12,9,0,0,0,0,16174,16725
420,1,7,4,7,2,1,1,0,18047,19362
421,1,9,3,6,0,0,0,0,17484,20325
422,1,6,5,7,1,0,1,1,17826,19427
423,1,10,6,9,0,0,0,0,18673,18121
424,0,8,12,11,0,0,0,0,17540,17368
425,0,7,9,4,1,1,0,0,16808,17370
426,1,4,3,3,1,0,1,0,15227,18442
427,1,11,4,12,0,0,0,0,19392,18570
428,0,6,7,5,1,0,1,0,17194,18397
429,1,4,8,3,1,1,0,0,15672,17821
430,1,11,4,15,1,1,0,0,18565,19562
431,0,1,6,0,0,0,0,0,13921,16963
432,0,3,9,2,0,0,0,0,14521,16234
433,0,3,10,1,0,0,0,0,15049,17888
434,1,13,4,11,1,1,0,0,20127,19575
435,1,3,2,5,0,0,0,0,17194,19539
436,0,9,7,8,0,0,0,0,19122,19334
437,1,7,6,7,0,0,0,0,16359,17998
438,1,5,4,5,1,0,1,0,17027,17816
439,0,10,7,10,1,1,0,0,17665,18125
440,1,8,5,7,1,1,0,0,17209,18853
441,1,10,5,9,1,1,0,0,19187,19762
442,1,9,4,7,1,1,0,0,17482,19093
443,1,5,6,6,1,1,0,0,16035,16853
444,0,7,9,6,0,0,0,0,16070,16510
445,0,5,5,5,0,0,0,0,15617,18169
446,1,6,4,8,1,1,0,0,16130,17156
447,0,8,5,9,1,1,0,0,17172,18972
448,0,4,7,4,1,0,1,0,15475,16428
449,0,7,9,6,0,0,0,0,16248,18067
450,1,6,3,10,1,1,0,0,16745,17908
451,0,7,4,8,0,0,0,0,16472,18966
452,1,8,4,8,2,1,1,0,18133,20427
453,0,11,7,20,1,1,0,0,17068,15357
454,1,5,6,5,2,1,1,0,16635,19221
455,1,8,4,9,0,0,0,0,17950,18805
456,0,3,4,3,0,0,0,0,14494,15922
457,1,14,10,9,0,0,0,0,18595,18307
458,1,15,11,14,0,0,0,0,19767,17678
459,1,4,3,7,1,1,0,0,14970,17530
460,0,6,7,5,0,0,0,0,15891,17964
461,1,5,1,3,1,0,1,0,16472,18393
462,0,4,7,3,2,1,1,0,15210,17099
463,1,8,8,9,0,0,0,0,16096,16891
464,1,8,4,10,0,0,0,0,16870,18433
465,0,4,4,3,1,1,0,0,15842,18640
466,1,5,4,0,0,0,0,0,15297,18319
467,0,8,7,8,2,1,1,0,16412,18381
468,1,10,3,9,1,1,0,0,19013,20151
469,0,4,9,5,0,0,0,0,14842,16718
470,0,6,8,5,0,0,0,0,16684,17071
471,0,4,8,6,1,1,0,0,15235,17625
472,1,11,8,14,1,1,0,0,18159,17740
473,0,2,9,4,0,0,0,0,13916,15087
474,0,4,11,3,0,0,0,0,15107,16753
475,1,8,2,4,2,1,1,1,18597,19612
476,1,9,1,9,0,0,0,0,18640,20923
477,0,4,8,5,1,1,0,0,15483,17110
478,0,2,4,3,0,0,0,0,15242,18202
479,0,3,4,5,1,1,0,0,14945,16491
480,1,8,7,8,0,0,0,0,17197,16987
481,1,9,10,11,1,1,0,0,17292,17127
482,0,3,5,3,0,0,0,0,14822,18244
483,0,3,8,2,0,0,0,0,15027,17054
484,1,4,4,3,0,0,0,0,15502,17035
485,0,7,7,6,1,0,1,0,16931,18446
486,1,7,7,11,1,1,0,0,16787,18466
487,1,3,4,4,0,0,0,0,15022,18105
488,1,7,2,6,1,0,1,0,17365,19227
489,1,6,4,7,1,0,1,0,17658,19584
490,1,10,3,8,0,0,0,0,19549,20404
491,0,5,4,6,1,1,0,0,16516,19033
492,1,4,5,5,0,0,0,0,15177,18017
493,1,11,7,9,0,0,0,0,18520,19054
494,0,10,10,11,1,0,1,0,18600,19763
495,1,9,4,8,0,0,0,0,18439,19278
496,1,7,6,8,1,1,0,0,15632,15789
497,0,10,4,17,1,1,0,0,17161,17817
498,1,5,3,5,2,1,1,0,15263,17693
499,1,9,6,8,0,0,0,0,16396,17294
500,1,10,6,11,1,1,0,0,17592,17430
501,1,6,4,9,2,1,1,1,17802,18461
502,1,13,6,25,0,0,0,0,20047,19339
503,0,2,9,4,0,0,0,0,13795,16505
504,0,4,5,4,0,0,0,0,15714,17852
505,0,2,7,2,0,0,0,1,16418,17847
506,1,9,3,8,1,1,0,0,18012,19378
507,0,3,10,3,0,0,0,0,14558,15833
508,1,8,4,9,1,1,0,0,17779,18276
509,1,6,3,5,1,1,0,0,16931,18085
510,1,6,5,5,2,1,1,0,16555,18782
511,1,5,6,8,1,1,0,0,16891,18030
512,0,6,7,6,2,1,1,0,16940,17580
513,1,7,6,5,0,0,0,0,17242,19085
514,1,8,1,12,0,0,0,0,17734,19335
515,0,10,8,11,0,0,0,0,17982,18544
516,1,6,8,10,1,1,0,0,16162,18095
517,1,12,1,11,2,1,1,0,18574,19415
518,0,2,5,3,0,0,0,0,15123,17214
519,1,6,8,4,1,0,1,0,16075,18425
520,0,3,8,4,0,0,0,0,14443,16433
521,1,5,4,4,0,0,0,0,16656,18582
522,0,5,8,5,1,1,0,0,15938,17247
523,1,1,2,2,1,1,0,0,14116,16837
524,1,8,9,10,0,0,0,0,17054,17591
525,1,4,5,2,0,0,0,0,15306,17734
526,1,4,5,5,0,0,0,0,16193,18763
527,1,10,7,8,0,0,0,0,18126,18581
528,1,8,9,11,1,1,0,0,17592,17635
529,1,7,4,16,1,1,0,0,16282,16018
530,1,6,3,7,1,0,1,0,17167,18274
531,0,7,16,6,0,0,0,0,15679,16096
532,1,7,7,5,1,1,0,0,16045,17256
533,0,6,7,8,0,0,0,0,16564,18202
534,0,2,8,3,0,0,0,0,14376,17660
535,0,2,5,1,1,1,0,0,14128,16843
536,1,3,5,2,0,0,0,0,14584,17432
537,1,9,8,8,0,0,0,0,18457,19590
538,0,7,7,6,0,0,0,0,18282,19001
539,0,7,11,10,0,0,0,0,17130,18060
540,1,8,0,12,1,1,0,0,17759,19034
541,1,8,3,7,1,0,1,0,17194,18529
542,1,6,6,8,1,1,0,0,16527,18240
543,1,7,4,12,2,1,1,0,17915,18641
544,0,5,4,6,1,0,1,1,17610,18110
545,1,12,10,20,2,1,1,0,19453,18043
546,1,7,1,5,1,1,0,1,18772,18771
547,0,1,3,3,0,0,0,0,14626,17441
548,1,13,3,21,0,0,0,0,20387,18610
549,0,6,6,6,0,0,0,0,17256,18564
550,1,6,1,8,2,1,1,0,16601,18535
551,0,1,3,1,1,0,1,0,14672,17598
552,1,8,6,9,1,1,0,0,17001,17576
553,0,8,11,6,1,0,1,1,18213,18240
554,1,10,8,9,2,1,1,0,19862,20693
555,0,9,1,10,0,0,0,0,18179,19225
556,1,4,2,7,0,0,0,0,15796,17499
557,1,6,9,7,0,0,0,0,15377,16348
558,0,5,7,4,0,0,0,0,14874,16128
559,0,7,9,8,0,0,0,0,17780,17456
560,0,7,12,8,0,0,0,0,16804,16732
561,0,7,13,9,0,0,0,0,17372,17530
562,1,4,3,7,1,1,0,0,15162,16973
563,0,3,3,7,1,1,0,0,14742,16390
564,0,0,6,0,0,0,0,0,13078,15827
565,0,2,5,4,0,0,0,0,13886,17234
566,1,7,3,13,1,1,0,0,16632,16709
567,1,6,2,5,2,1,1,0,17215,19549
568,1,11,9,8,0,0,0,0,17528,18271
569,0,5,3,9,1,1,0,0,16555,19152
570,1,6,11,7,1,1,0,0,15246,16135
571,0,3,9,3,0,0,0,0,14033,15049
572,0,7,6,6,0,0,0,0,16778,17473
573,1,11,5,8,2,1,1,0,18960,20136
574,1,5,1,5,2,1,1,0,17065,18930
575,1,9,7,8,0,0,0,0,18283,19207
576,0,4,7,6,0,0,0,0,15190,16345
